K,new_K,use_global_prior,learning_rate,avg_corr,median_corr,min_corr,silhouette_avg,dbi,cell_type_column,silhouette_NMF,input_conc,best_elbo,cell_type_accuracy,subtissue_accuracy,age_accuracy,wayp,mean_cell_entropy,overall_cell_total_entropy,Source
50,46,True,0.2,0.9017395366188158,0.902145173884735,0.8922809246155332,0.0904723361809125,6.70888122576822,cell_ontology_class,,inf,489485777.8353075,0.8675062972292191,0.3123425692695214,0.5095717884130982,YES,2.254139571371222,44742.41635214738,BrainOnly
50,42,True,0.3,0.910265319133172,0.910265319133172,0.910265319133172,0.08945570263757,6.042740513435245,cell_ontology_class,,inf,497837130.7355835,0.8675062972292191,0.3075566750629723,0.4982367758186398,YES,2.216501345978237,43995.33521632202,BrainOnly
100,34,True,0.2,0.8833391394316873,0.878842895548683,0.8772061224554959,0.0752893385754082,7.433335937264532,cell_ontology_class,,inf,456122641.32964057,0.8256926952141058,0.3030226700251889,0.509823677581864,YES,2.094462418727611,41572.98454932435,BrainOnly
100,6,False,0.2,0.9987985712893078,0.9986317747983772,0.9984682126168573,-0.1236320154607176,7.524297170408912,cell_ontology_class,,0.97202814,89076764.84585412,0.7659949622166247,0.3090680100755667,0.5050377833753149,YES,0.8891519203221558,17648.77646647447,BrainOnly
20,20,True,0.2,0.9530430171454752,0.9521695767148548,0.95149924372997,0.1033638996908679,6.0070271286763495,cell_ontology_class,,inf,530931293.4484712,0.8675062972292191,0.3060453400503778,0.4622166246851385,YES,1.7366344673666143,34470.45754275993,BrainOnly
20,16,False,0.2,0.9960790787594894,0.9959594950492762,0.9956608093614548,0.0515890309088386,6.1488205723653815,cell_ontology_class,,1.0088423,87903086.19830881,0.8682619647355164,0.3372795969773299,0.6035264483627204,YES,1.2218568281723603,24252.63618239318,BrainOnly
20,20,False,0.3,0.9384789938230956,0.9384789938230956,0.9384789938230956,0.106686445726891,6.051823723778606,cell_ontology_class,,inf,537709238.3333559,0.8667506297229219,0.3015113350125945,0.4765743073047859,YES,1.912729114210341,37965.76018796106,BrainOnly
50,10,False,0.3,0.9939069459792512,0.9939069459792512,0.9939069459792512,0.0210294534545457,4.632142496464187,cell_ontology_class,,0.9965011,88479289.6607456,0.8506297229219144,0.3309823677581864,0.5531486146095718,YES,1.2357918273926851,24529.231981917408,BrainOnly
20,20,False,0.2,0.950319846250966,0.9496199686022608,0.94547381089967,0.0960866038554952,5.717072585069657,cell_ontology_class,,inf,529750630.6466861,0.8685138539042822,0.3017632241813602,0.4564231738035264,YES,1.727802367172838,34295.14918601366,BrainOnly
50,9,False,0.2,0.9977220973029438,0.9977160493678746,0.9972771304428584,-0.0022374291552598,6.192739440247147,cell_ontology_class,,0.9976071,88415521.0048767,0.8387909319899244,0.3382871536523929,0.5768261964735516,YES,0.9499546067450576,18855.64898928265,BrainOnly
20,16,False,0.3,0.9951694882748422,0.9951694882748422,0.9951694882748422,0.0395454957479181,4.710554803865183,cell_ontology_class,,0.9952385,88059287.27444135,0.8677581863979849,0.3438287153652393,0.6062972292191435,YES,1.289709858880032,25599.450988909757,BrainOnly
20,17,True,0.2,0.9933706051000644,0.993192374477464,0.9926334689556764,0.0796635047797456,5.494390758302374,cell_ontology_class,,1.0128973,87779145.14798841,0.8758186397984886,0.3380352644836272,0.5997481108312342,YES,1.3779077257692742,27350.090448794326,BrainOnly
200,14,True,0.3,0.8858190221616897,0.8858190221616897,0.8858190221616897,-0.0135489769695376,8.951162834861465,cell_ontology_class,,inf,437523342.2757439,0.7554156171284635,0.2886649874055416,0.4695214105793451,YES,1.634695197448318,32447.06497415166,BrainOnly
50,48,True,0.1,0.2532845268126258,0.2745185773290917,0.2103451107285015,0.10229696,6.085647164506511,cell_ontology_class,,inf,492142930.2964432,0.8627204030226701,0.3057934508816121,0.498992443324937,NO,2.118962410362355,42059.28488328239,BrainOnly
200,3,False,0.1,0.9762940092880468,0.9761459198496903,0.9632553915761418,-0.15028626,6.041809383249709,cell_ontology_class,,0.94311345,89711062.5970099,0.6758186397984887,0.2801007556675063,0.4521410579345088,NO,0.3860920925509011,7663.541945042836,BrainOnly
20,20,False,0.1,0.4957282645309142,0.500579448223061,0.3162748022155748,0.08469912,5.335132732728081,cell_ontology_class,,1.0186949,87784204.59456958,0.8753148614609572,0.3367758186397985,0.6138539042821158,NO,1.0958549292913309,21751.624491503622,BrainOnly
200,4,False,0.1,0.6822940840213886,0.5793821860396073,0.4832685351447988,-0.18493244,8.606707708502057,cell_ontology_class,,0.9449852,89685499.35399769,0.6496221662468514,0.2795969773299748,0.4884130982367758,NO,0.3391078500090382,6730.9517148294,BrainOnly
50,47,False,0.1,0.2279756404563414,0.2238476400447085,0.2089363568499292,0.06335601,6.722626606671485,cell_ontology_class,,inf,477240624.0617716,0.8493702770780857,0.3015113350125945,0.4773299748110831,NO,2.127707564961063,42232.867456912136,BrainOnly
100,4,False,0.1,0.8912903132395099,0.9169695517489992,0.8095172730928288,-0.19043635,10.18831529730234,cell_ontology_class,,0.96475923,89028867.06277145,0.7488664987405541,0.3136020151133501,0.5413098236775818,NO,0.5530263877077941,10977.020769612003,BrainOnly
20,20,True,0.1,0.5322961298636923,0.5391706207489384,0.5177964153405797,0.056546494,4.990597887223006,cell_ontology_class,,1.0126165,88013575.21246532,0.881360201511335,0.3307304785894207,0.6161209068010075,NO,1.979984208907986,39300.70656261461,BrainOnly
100,38,True,0.1,0.184829694265589,0.1801303126217783,0.1719513145274848,0.030730017,7.463894182401789,cell_ontology_class,,inf,462149718.6870451,0.7974811083123425,0.3108312342569269,0.4904282115869017,NO,1.975180134398812,39205.35048768202,BrainOnly
200,8,True,0.1,0.934417845852967,0.9339609207238144,0.9046264047055468,-0.10329607,4.833579654654654,cell_ontology_class,,0.9356967,90629310.22392282,0.8153652392947103,0.298992443324937,0.4659949622166247,NO,1.153579396084066,22897.397432872625,BrainOnly
20,20,False,0.1,0.638678533111214,0.6104634427755462,0.5866938248885268,0.09673274,5.081073706662132,cell_ontology_class,,1.0190022,87799070.3909298,0.8778337531486146,0.3516372795969773,0.6103274559193954,NO,1.2410371599556498,24633.34658795969,BrainOnly
20,20,False,0.1,0.630192791443418,0.6254718866980016,0.5427161877707499,0.10316304,5.462242610295198,cell_ontology_class,,1.019778,87743854.74386398,0.8649874055415617,0.3385390428211587,0.5881612090680101,NO,1.132140739252403,22471.861533420943,BrainOnly
100,52,True,0.1,0.1713075964621364,0.1736590898976076,0.1446832856356953,0.019895062,7.748885872538942,cell_ontology_class,,inf,461243531.2421208,0.8241813602015113,0.3269521410579345,0.5282115869017632,NO,2.116420606948558,42008.83262732193,BrainOnly
50,49,True,0.1,0.2388082533121888,0.241959864514677,0.2213912663376439,0.05349124,6.502579985977232,cell_ontology_class,,inf,491529316.4120586,0.8657430730478589,0.3236775818639798,0.5236775818639798,NO,2.2606120452148186,44870.88848546893,BrainOnly
20,20,True,0.1,0.5645891086024234,0.5137299761300551,0.5094760885340706,0.061474066,5.174794006334178,cell_ontology_class,,1.0002167,88068827.25219545,0.8785894206549119,0.3309823677581864,0.6146095717884131,NO,1.9344937016000936,38397.76548306026,BrainOnly
50,46,False,0.1,0.2405195091557138,0.2405197542389629,0.239648814409729,0.06841457,7.270245829231824,cell_ontology_class,,inf,477163816.4186955,0.8559193954659949,0.3,0.4748110831234257,NO,2.052648665003249,40743.023351649485,BrainOnly
20,20,False,0.1,0.6574073702363049,0.6350215302417073,0.5998867797228506,0.09134718,5.150841068563056,cell_ontology_class,,1.0273346,87780345.30705309,0.8760705289672545,0.3428211586901763,0.591183879093199,NO,1.3312673313793286,26424.325260548296,BrainOnly
