cell_id,psap_expression
C20-B003279-3_38_F-1-1,3.1030602
C21-MAA000605-3_10_M-1-1,2.3014698
C2-MAA000604-3_10_M-1-1,4.179143
D3-MAA000572-3_8_M-1-1,4.1301746
D3-MAA000603-3_10_M-1-1,3.5122752
D5-MAA000604-3_10_M-1-1,3.4081526
E15-B003279-3_38_F-1-1,3.725212
E20-B003281-3_39_F-1-1,3.2540774
F14-B003279-3_38_F-1-1,2.9186883
F15-MAA000570-3_8_M-1-1,3.7502556
F2-MAA000605-3_10_M-1-1,3.7442534
F2-MAA000617-3_10_M-1-1,4.4122925
F8-MAA000605-3_10_M-1-1,1.3191707
G11-MAA000603-3_10_M-1-1,4.090973
G13-MAA000604-3_10_M-1-1,4.070527
G16-MAA000570-3_8_M-1-1,4.1751494
G16-MAA000617-3_10_M-1-1,3.6995966
G17-MAA000571-3_9_M-1-1,4.0272245
G19-B003279-3_38_F-1-1,1.5486944
G1-B003278-3_38_F-1-1,3.1555076
G1-B003279-3_38_F-1-1,4.075002
G20-B003279-3_38_F-1-1,3.355434
G4-MAA000570-3_8_M-1-1,4.089844
G6-MAA000570-3_8_M-1-1,3.885499
H11-MAA000571-3_9_M-1-1,4.021813
H12-B003281-3_39_F-1-1,3.9402254
H13-B003292-3_39_F-1-1,3.172396
H19-MAA000605-3_10_M-1-1,3.745656
I14-MAA000605-3_10_M-1-1,0.17825957
I16-MAA000570-3_8_M-1-1,3.150992
I16-MAA000605-3_10_M-1-1,3.5654752
I22-MAA000571-3_9_M-1-1,4.1033545
I22-MAA000605-3_10_M-1-1,4.0311055
J16-MAA000571-3_9_M-1-1,3.6991553
J22-MAA000571-3_9_M-1-1,4.8111696
J22-MAA000605-3_10_M-1-1,4.530243
J9-MAA000603-3_10_M-1-1,3.3345082
K17-MAA000605-3_10_M-1-1,4.469824
K7-MAA000571-3_9_M-1-1,3.6923413
L15-B003281-3_39_F-1-1,3.6039844
L18-MAA000605-3_10_M-1-1,3.6937084
L3-B000826-3_39_F-1-1,3.2592738
M10-B003281-3_39_F-1-1,2.813304
M10-MAA000604-3_10_M-1-1,3.1979809
M11-MAA000603-3_10_M-1-1,3.6972127
M18-MAA000605-3_10_M-1-1,3.3776972
M19-MAA000605-3_10_M-1-1,4.2782893
N12-B003279-3_38_F-1-1,4.013733
N16-MAA000605-3_10_M-1-1,3.2197778
N1-MAA000570-3_8_M-1-1,4.3252063
O14-MAA000605-3_10_M-1-1,4.5578823
O6-MAA000604-3_10_M-1-1,4.1577206
O7-B000825-3_38_F-1-1,1.7552598
P16-B003279-3_38_F-1-1,2.223342
P18-B003279-3_38_F-1-1,2.624534
P9-MAA000605-3_10_M-1-1,2.9163184
A11-MAA000932-3_11_M-1-1,0.9903209
A12-B003275-3_38_F-1-1,2.2411196
A12-B003290-3_38_F-1-1,2.664056
A12-MAA000581-3_10_M-1-1,0.6619623
A13-B003275-3_38_F-1-1,1.7337968
A13-B003290-3_38_F-1-1,2.1738234
A13-MAA000941-3_8_M-1-1,3.1070406
A13-MAA000944-3_9_M-1-1,1.3041961
A14-B003275-3_38_F-1-1,1.295887
A14-B003290-3_38_F-1-1,2.1567779
A14-MAA001845-3_39_F-1-1,0.0
A15-B003290-3_38_F-1-1,1.780133
A15-MAA000581-3_10_M-1-1,0.033511437
A15-MAA000930-3_8_M-1-1,0.50930667
A15-MAA000941-3_8_M-1-1,2.154195
A15-MAA001895-3_38_F-1-1,0.59438044
A16-MAA000581-3_10_M-1-1,2.6218054
A16-MAA000932-3_11_M-1-1,1.7031881
A17-MAA000581-3_10_M-1-1,2.5285015
A17-MAA001895-3_38_F-1-1,0.41056046
A18-MAA000581-3_10_M-1-1,2.7569132
A18-MAA000930-3_8_M-1-1,2.0489702
A18-MAA000941-3_8_M-1-1,3.3237438
A18-MAA001845-3_39_F-1-1,0.14648156
A19-B003275-3_38_F-1-1,2.5144799
A1-MAA000564-3_10_M-1-1,1.5692784
A1-MAA000932-3_11_M-1-1,0.3794148
A1-MAA001894-3_39_F-1-1,2.2352865
A1-MAA001895-3_38_F-1-1,0.6970926
A20-B003275-3_38_F-1-1,2.8683796
A20-MAA000564-3_10_M-1-1,2.7628272
A21-B003275-3_38_F-1-1,2.5433695
A21-MAA000424-3_11_M-1-1,2.4973636
A21-MAA000581-3_10_M-1-1,2.5622451
A21-MAA000944-3_9_M-1-1,2.479904
A22-B003275-3_38_F-1-1,1.7572483
A22-MAA000424-3_11_M-1-1,2.462431
A22-MAA000561-3_10_M-1-1,2.5364559
A22-MAA000581-3_10_M-1-1,3.2088666
A2-B003290-3_38_F-1-1,1.6809301
A2-MAA000932-3_11_M-1-1,1.4994234
A2-MAA000941-3_8_M-1-1,2.8556693
A3-B003290-3_38_F-1-1,1.5061791
A3-MAA000932-3_11_M-1-1,1.3593141
A4-B003290-3_38_F-1-1,1.6364322
A4-MAA000932-3_11_M-1-1,0.7133066
A4-MAA000942-3_8_M-1-1,2.7837052
A4-MAA001895-3_38_F-1-1,1.3687063
A5-B003290-3_38_F-1-1,2.1484358
A5-MAA000581-3_10_M-1-1,1.7394683
A5-MAA000932-3_11_M-1-1,1.1118989
A5-MAA001845-3_39_F-1-1,0.05738019
A5-MAA001895-3_38_F-1-1,0.0
A6-B003290-3_38_F-1-1,1.4536548
A6-MAA000932-3_11_M-1-1,2.0718038
A6-MAA001895-3_38_F-1-1,2.5355182
A7-B003275-3_38_F-1-1,2.5491514
A7-B003290-3_38_F-1-1,0.0
A7-MAA000424-3_11_M-1-1,2.8189566
A7-MAA001845-3_39_F-1-1,0.17747116
A8-B003290-3_38_F-1-1,2.0301208
A8-MAA000932-3_11_M-1-1,0.1532418
A8-MAA001845-3_39_F-1-1,0.44043234
A8-MAA001895-3_38_F-1-1,0.6346799
A9-B003275-3_38_F-1-1,2.5791578
A9-B003290-3_38_F-1-1,2.9575663
A9-MAA001845-3_39_F-1-1,1.0814064
A9-MAA001895-3_38_F-1-1,0.86929697
B10-B003275-3_38_F-1-1,0.0
B10-B003290-3_38_F-1-1,1.667557
B10-MAA000553-3_10_M-1-1,2.3159723
B11-B003275-3_38_F-1-1,1.7440494
B11-B003290-3_38_F-1-1,2.668831
B11-MAA000581-3_10_M-1-1,2.502047
B11-MAA000932-3_11_M-1-1,0.0
B11-MAA001845-3_39_F-1-1,2.2509222
B11-MAA001895-3_38_F-1-1,0.6744696
B12-B003275-3_38_F-1-1,1.3027887
B12-B003290-3_38_F-1-1,0.0072410307
B12-MAA000926-3_9_M-1-1,2.6565323
B12-MAA000941-3_8_M-1-1,2.3024793
B13-B003275-3_38_F-1-1,2.0515473
B13-MAA000581-3_10_M-1-1,2.4737678
B14-B003275-3_38_F-1-1,1.4956827
B14-B003290-3_38_F-1-1,2.4063444
B14-MAA000581-3_10_M-1-1,2.7111168
B14-MAA001845-3_39_F-1-1,1.1223032
B15-B003275-3_38_F-1-1,2.4694374
B15-B003290-3_38_F-1-1,2.016639
B15-MAA000581-3_10_M-1-1,1.259473
B17-B003275-3_38_F-1-1,1.7699801
B17-MAA000561-3_10_M-1-1,3.066942
B18-MAA000944-3_9_M-1-1,1.9898564
B19-B003275-3_38_F-1-1,2.0835156
B19-MAA000424-3_11_M-1-1,2.3475244
B1-B003290-3_38_F-1-1,2.2919812
B1-MAA000932-3_11_M-1-1,1.836962
B1-MAA001845-3_39_F-1-1,2.65878
B1-MAA001895-3_38_F-1-1,1.4533147
B20-B003275-3_38_F-1-1,2.3562973
B20-B003290-3_38_F-1-1,3.1482208
B20-MAA000424-3_11_M-1-1,2.7429764
B20-MAA000564-3_10_M-1-1,2.4562025
B20-MAA000930-3_8_M-1-1,2.838797
B20-MAA000932-3_11_M-1-1,0.23900278
B22-B003275-3_38_F-1-1,2.3927445
B22-MAA000581-3_10_M-1-1,2.9176285
B22-MAA000944-3_9_M-1-1,1.4345558
B2-B003290-3_38_F-1-1,1.9666618
B2-MAA000932-3_11_M-1-1,1.3768197
B2-MAA001845-3_39_F-1-1,2.0095854
B2-MAA001895-3_38_F-1-1,0.89278924
B3-MAA000930-3_8_M-1-1,1.9435146
B4-B003290-3_38_F-1-1,1.3987012
B4-MAA000560-3_10_M-1-1,2.5166936
B4-MAA000932-3_11_M-1-1,1.3415602
B4-MAA001845-3_39_F-1-1,0.07324627
B5-B003290-3_38_F-1-1,2.079946
B5-MAA000932-3_11_M-1-1,0.0
B5-MAA001845-3_39_F-1-1,1.3512832
