,cell_id_index,cell_type,junction_id_index,junc_count,cluster_count,junction_id,Cluster,gene_id,junc_ratio
852916,287,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,99.0,177,10_60296002_60299097,5903,Psap,0.559322033898305
852917,288,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,91.0,414,10_60296002_60299097,5903,Psap,0.21980676328502416
852918,289,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,47.0,104,10_60296002_60299097,5903,Psap,0.4519230769230769
852919,290,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,87.0,341,10_60296002_60299097,5903,Psap,0.25513196480938416
852920,291,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,127.0,277,10_60296002_60299097,5903,Psap,0.4584837545126354
852921,292,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,355.0,605,10_60296002_60299097,5903,Psap,0.5867768595041323
852922,293,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,129.0,455,10_60296002_60299097,5903,Psap,0.2835164835164835
852923,294,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,4.0,27,10_60296002_60299097,5903,Psap,0.14814814814814814
852924,295,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,104.0,392,10_60296002_60299097,5903,Psap,0.2653061224489796
852925,296,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,2.0,119,10_60296002_60299097,5903,Psap,0.01680672268907563
852926,297,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,31.0,102,10_60296002_60299097,5903,Psap,0.30392156862745096
852927,298,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,98.0,340,10_60296002_60299097,5903,Psap,0.28823529411764703
852928,299,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,270.0,340,10_60296002_60299097,5903,Psap,0.7941176470588235
852929,300,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,53.0,402,10_60296002_60299097,5903,Psap,0.1318407960199005
852930,301,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,16.0,41,10_60296002_60299097,5903,Psap,0.3902439024390244
852931,302,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,35.0,52,10_60296002_60299097,5903,Psap,0.6730769230769231
852932,303,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,106.0,175,10_60296002_60299097,5903,Psap,0.6057142857142858
852933,304,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,48.0,48,10_60296002_60299097,5903,Psap,1.0
852934,305,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,729.0,1528,10_60296002_60299097,5903,Psap,0.47709424083769636
852935,306,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,9.0,33,10_60296002_60299097,5903,Psap,0.2727272727272727
852936,307,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,28.0,59,10_60296002_60299097,5903,Psap,0.4745762711864407
852937,308,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,57.0,105,10_60296002_60299097,5903,Psap,0.5428571428571428
852938,309,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,35.0,52,10_60296002_60299097,5903,Psap,0.6730769230769231
852939,310,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,66.0,74,10_60296002_60299097,5903,Psap,0.8918918918918919
852940,311,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,8.0,65,10_60296002_60299097,5903,Psap,0.12307692307692308
852941,312,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,288.0,378,10_60296002_60299097,5903,Psap,0.7619047619047619
852942,313,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,36.0,149,10_60296002_60299097,5903,Psap,0.24161073825503357
852943,314,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,678.0,1320,10_60296002_60299097,5903,Psap,0.5136363636363637
852944,315,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,1733.0,2361,10_60296002_60299097,5903,Psap,0.734011012282931
852945,316,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,47.0,85,10_60296002_60299097,5903,Psap,0.5529411764705883
852946,317,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,19.0,62,10_60296002_60299097,5903,Psap,0.3064516129032258
852947,318,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,66.0,271,10_60296002_60299097,5903,Psap,0.24354243542435425
852948,319,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,65.0,217,10_60296002_60299097,5903,Psap,0.2995391705069124
852949,320,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,40.0,267,10_60296002_60299097,5903,Psap,0.149812734082397
852950,321,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,5.0,167,10_60296002_60299097,5903,Psap,0.029940119760479042
852951,322,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,68.0,124,10_60296002_60299097,5903,Psap,0.5483870967741935
852952,323,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,14.0,37,10_60296002_60299097,5903,Psap,0.3783783783783784
852953,324,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,7.0,32,10_60296002_60299097,5903,Psap,0.21875
852954,325,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,75.0,105,10_60296002_60299097,5903,Psap,0.7142857142857143
852955,326,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,115.0,185,10_60296002_60299097,5903,Psap,0.6216216216216216
852956,327,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,79.0,320,10_60296002_60299097,5903,Psap,0.246875
